2026-09-13 14:44:47,740 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-09-13 14:44:47,740 - nanochat.common - [33m[1mWARNING[0m - Peak flops undefined for: NVIDIA GeForce RTX 4060, MFU will show as 0%
wandb: Currently logged in as: sotirisfrost (sotirisfrost-lu) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.21.3
wandb: Run data is saved locally in /home/s4597036/nanochat/wandb/run-20260913_144448-5ob9r06m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run d4-pretrain-v2
wandb: ⭐️ View project at https://wandb.ai/sotirisfrost-lu/nanochat
wandb: 🚀 View run at https://wandb.ai/sotirisfrost-lu/nanochat/runs/5ob9r06m
W0913 14:45:26.819000 50594 .venv/lib/python3.10/site-packages/torch/_inductor/utils.py:1613] [0/0] Not enough SMs to use max_autotune_gemm mode

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA GeForce RTX 4060 | Peak FLOPS (BF16): inf
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 89 (bf16 supported))
jsonl log: /home/s4597036/nanochat/logs/base_train_d4-pretrain-v2_20260913_144451.jsonl
✓ Using Flash Attention 3: efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 4,
  "n_head": 2,
  "n_kv_head": 2,
  "n_embd": 256,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 8,388,608
value_embeds            : 16,777,216
lm_head                 : 8,388,608
transformer_matrices    : 3,145,776
scalars                 : 34
total                   : 36,700,242
Estimated FLOPs per token: 9.437227e+07
Auto-computed optimal batch size: 262,144 tokens
Scaling LRs by 0.7071 for batch size 262,144 (reference: 524,288)
Scaling weight decay from 0.280000 to 1.889903 for depth 4
Scaling the LR for the AdamW parameters ∝1/√(256/768) = 1.732051
Calculated number of iterations from target data:param ratio: 528
Total number of training tokens: 138,412,032
Tokens : Scaling params ratio: 12.00
Total training FLOPs estimate: 1.306226e+16
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 262,144 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.159565
step 00000/00528 (0.00%) | loss: 10.397289 | lrm: 0.03 | dt: 10052.09ms | tok/sec: 26,078 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00528 (0.19%) | loss: 10.392388 | lrm: 0.05 | dt: 1151.03ms | tok/sec: 227,748 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/00528 (0.38%) | loss: 10.383659 | lrm: 0.07 | dt: 1132.87ms | tok/sec: 231,399 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00003/00528 (0.57%) | loss: 10.370637 | lrm: 0.10 | dt: 1130.48ms | tok/sec: 231,887 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00004/00528 (0.76%) | loss: 10.348934 | lrm: 0.12 | dt: 1130.95ms | tok/sec: 231,791 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00005/00528 (0.95%) | loss: 10.318040 | lrm: 0.15 | dt: 1132.11ms | tok/sec: 231,553 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00006/00528 (1.14%) | loss: 10.271395 | lrm: 0.17 | dt: 1137.06ms | tok/sec: 230,546 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00007/00528 (1.33%) | loss: 10.199629 | lrm: 0.20 | dt: 1130.83ms | tok/sec: 231,814 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00008/00528 (1.52%) | loss: 10.094891 | lrm: 0.23 | dt: 1135.27ms | tok/sec: 230,908 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00009/00528 (1.70%) | loss: 9.949348 | lrm: 0.25 | dt: 1135.69ms | tok/sec: 230,823 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00010/00528 (1.89%) | loss: 9.755085 | lrm: 0.28 | dt: 1134.44ms | tok/sec: 231,078 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00011/00528 (2.08%) | loss: 9.529102 | lrm: 0.30 | dt: 1135.00ms | tok/sec: 230,964 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.02m | eta: 9.8m
step 00012/00528 (2.27%) | loss: 9.327755 | lrm: 0.33 | dt: 1133.59ms | tok/sec: 231,250 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.04m | eta: 9.8m
step 00013/00528 (2.46%) | loss: 9.123592 | lrm: 0.35 | dt: 1133.90ms | tok/sec: 231,188 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.06m | eta: 9.7m
step 00014/00528 (2.65%) | loss: 8.930437 | lrm: 0.38 | dt: 1134.61ms | tok/sec: 231,043 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.08m | eta: 9.7m
step 00015/00528 (2.84%) | loss: 8.729332 | lrm: 0.40 | dt: 1142.88ms | tok/sec: 229,371 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.09m | eta: 9.7m
step 00016/00528 (3.03%) | loss: 8.544220 | lrm: 0.42 | dt: 1133.91ms | tok/sec: 231,185 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 9 | total time: 0.11m | eta: 9.7m
step 00017/00528 (3.22%) | loss: 8.362907 | lrm: 0.45 | dt: 1137.25ms | tok/sec: 230,506 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 9 | total time: 0.13m | eta: 9.7m
step 00018/00528 (3.41%) | loss: 8.202181 | lrm: 0.47 | dt: 1137.45ms | tok/sec: 230,465 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 10 | total time: 0.15m | eta: 9.7m
step 00019/00528 (3.60%) | loss: 8.047262 | lrm: 0.50 | dt: 1136.08ms | tok/sec: 230,744 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 11 | total time: 0.17m | eta: 9.6m
Step 00020 | Validation bpb: 2.040075
step 00020/00528 (3.79%) | loss: 7.891738 | lrm: 0.53 | dt: 1149.19ms | tok/sec: 228,111 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 11 | total time: 0.19m | eta: 9.6m
step 00021/00528 (3.98%) | loss: 7.746390 | lrm: 0.55 | dt: 1140.18ms | tok/sec: 229,915 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 12 | total time: 0.21m | eta: 9.6m
step 00022/00528 (4.17%) | loss: 7.605104 | lrm: 0.57 | dt: 1141.09ms | tok/sec: 229,730 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 12 | total time: 0.23m | eta: 9.6m
step 00023/00528 (4.36%) | loss: 7.482086 | lrm: 0.60 | dt: 1138.59ms | tok/sec: 230,235 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 13 | total time: 0.25m | eta: 9.6m
step 00024/00528 (4.55%) | loss: 7.378046 | lrm: 0.62 | dt: 1139.34ms | tok/sec: 230,083 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 13 | total time: 0.27m | eta: 9.6m
step 00025/00528 (4.73%) | loss: 7.287737 | lrm: 0.65 | dt: 1141.59ms | tok/sec: 229,630 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 14 | total time: 0.28m | eta: 9.5m
step 00026/00528 (4.92%) | loss: 7.181080 | lrm: 0.68 | dt: 1136.59ms | tok/sec: 230,640 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 14 | total time: 0.30m | eta: 9.5m
step 00027/00528 (5.11%) | loss: 7.085830 | lrm: 0.70 | dt: 1139.96ms | tok/sec: 229,958 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 15 | total time: 0.32m | eta: 9.5m
step 00028/00528 (5.30%) | loss: 7.002171 | lrm: 0.72 | dt: 1139.63ms | tok/sec: 230,024 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 15 | total time: 0.34m | eta: 9.5m
step 00029/00528 (5.49%) | loss: 6.925569 | lrm: 0.75 | dt: 1145.23ms | tok/sec: 228,900 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 16 | total time: 0.36m | eta: 9.5m
step 00030/00528 (5.68%) | loss: 6.848085 | lrm: 0.78 | dt: 1137.63ms | tok/sec: 230,430 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 16 | total time: 0.38m | eta: 9.5m
step 00031/00528 (5.87%) | loss: 6.787056 | lrm: 0.80 | dt: 1141.30ms | tok/sec: 229,688 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 17 | total time: 0.40m | eta: 9.4m
step 00032/00528 (6.06%) | loss: 6.724132 | lrm: 0.82 | dt: 1141.91ms | tok/sec: 229,565 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 17 | total time: 0.42m | eta: 9.4m
step 00033/00528 (6.25%) | loss: 6.659939 | lrm: 0.85 | dt: 1141.60ms | tok/sec: 229,629 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 18 | total time: 0.44m | eta: 9.4m
